Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,115,5288
BubbleSort,1,111,0
BubbleSort,2,84,0
BubbleSort,3,109,0
BubbleSort,4,115,0
BubbleSort,5,113,0
BubbleSort,6,110,0
BubbleSort,7,109,0
BubbleSort,8,111,0
BubbleSort,9,86,0
BubbleSort,10,86,0
BubbleSort,11,84,0
BubbleSort,12,87,0
BubbleSort,13,85,0
BubbleSort,14,85,0
BubbleSort,15,85,0
BubbleSort,16,84,0
BubbleSort,17,85,0
BubbleSort,18,85,0
BubbleSort,19,86,0
BubbleSort,20,85,0
BubbleSort,21,86,0
BubbleSort,22,85,0
BubbleSort,23,89,0
BubbleSort,24,90,0
BubbleSort,25,87,0
BubbleSort,26,94,0
BubbleSort,27,87,0
BubbleSort,28,86,0
BubbleSort,29,85,0
BubbleSort,30,85,0
BubbleSort,31,85,0
BubbleSort,32,87,0
BubbleSort,33,87,0
BubbleSort,34,86,0
BubbleSort,35,86,0
BubbleSort,36,85,0
BubbleSort,37,87,0
BubbleSort,38,85,0
BubbleSort,39,85,0
BubbleSort,40,85,0
BubbleSort,41,86,0
BubbleSort,42,108,0
BubbleSort,43,130,0
BubbleSort,44,122,0
BubbleSort,45,116,0
BubbleSort,46,96,0
BubbleSort,47,93,0
BubbleSort,48,86,0
BubbleSort,49,89,0
BubbleSort,50,87,0
BubbleSort,51,84,0
BubbleSort,52,86,0
BubbleSort,53,85,0
BubbleSort,54,87,0
BubbleSort,55,85,0
BubbleSort,56,86,0
BubbleSort,57,85,0
BubbleSort,58,85,0
BubbleSort,59,86,0
BubbleSort,60,85,0
BubbleSort,61,88,0
BubbleSort,62,89,0
BubbleSort,63,92,0
BubbleSort,64,86,0
BubbleSort,65,85,0
BubbleSort,66,84,0
BubbleSort,67,82,0
BubbleSort,68,85,0
BubbleSort,69,85,0
BubbleSort,70,85,0
BubbleSort,71,85,0
BubbleSort,72,87,0
BubbleSort,73,86,0
BubbleSort,74,85,0
BubbleSort,75,84,0
BubbleSort,76,85,0
BubbleSort,77,86,0
BubbleSort,78,85,0
BubbleSort,79,86,0
BubbleSort,80,85,0
BubbleSort,81,86,0
BubbleSort,82,92,0
BubbleSort,83,88,0
BubbleSort,84,86,0
BubbleSort,85,84,0
BubbleSort,86,86,0
BubbleSort,87,85,0
BubbleSort,88,86,0
BubbleSort,89,87,0
BubbleSort,90,87,0
BubbleSort,91,85,0
BubbleSort,92,93,0
BubbleSort,93,92,0
BubbleSort,94,85,0
BubbleSort,95,83,0
BubbleSort,96,84,0
BubbleSort,97,85,0
BubbleSort,98,85,0
BubbleSort,99,85,0
BubbleSort,100,85,0
BubbleSort,101,85,0
BubbleSort,102,98,0
BubbleSort,103,92,0
BubbleSort,104,86,0
BubbleSort,105,85,0
BubbleSort,106,87,0
BubbleSort,107,84,0
BubbleSort,108,85,0
BubbleSort,109,85,0
BubbleSort,110,85,0
BubbleSort,111,84,0
BubbleSort,112,84,0
BubbleSort,113,85,0
BubbleSort,114,85,0
BubbleSort,115,86,0
BubbleSort,116,84,0
BubbleSort,117,85,0
BubbleSort,118,86,0
BubbleSort,119,85,0
BubbleSort,120,85,0
BubbleSort,121,84,0
BubbleSort,122,89,0
BubbleSort,123,89,0
BubbleSort,124,88,0
BubbleSort,125,85,0
BubbleSort,126,85,0
BubbleSort,127,86,0
BubbleSort,128,85,0
BubbleSort,129,86,0
BubbleSort,130,86,0
BubbleSort,131,85,0
BubbleSort,132,85,0
BubbleSort,133,87,0
BubbleSort,134,84,0
BubbleSort,135,85,0
BubbleSort,136,84,0
BubbleSort,137,85,0
BubbleSort,138,86,0
BubbleSort,139,85,0
BubbleSort,140,84,0
BubbleSort,141,86,0
BubbleSort,142,88,0
BubbleSort,143,87,0
BubbleSort,144,85,0
BubbleSort,145,84,0
BubbleSort,146,85,0
BubbleSort,147,85,0
BubbleSort,148,84,0
BubbleSort,149,83,0
BubbleSort,150,83,0
BubbleSort,151,86,0
BubbleSort,152,85,0
BubbleSort,153,85,0
BubbleSort,154,84,0
BubbleSort,155,84,0
BubbleSort,156,85,0
BubbleSort,157,84,0
BubbleSort,158,85,0
BubbleSort,159,86,0
BubbleSort,160,86,0
BubbleSort,161,88,0
BubbleSort,162,88,0
BubbleSort,163,90,0
BubbleSort,164,85,0
BubbleSort,165,86,0
BubbleSort,166,84,0
BubbleSort,167,85,0
BubbleSort,168,85,0
BubbleSort,169,86,0
BubbleSort,170,84,0
BubbleSort,171,84,0
BubbleSort,172,85,0
BubbleSort,173,85,0
BubbleSort,174,86,0
BubbleSort,175,84,0
BubbleSort,176,85,0
BubbleSort,177,85,0
BubbleSort,178,85,0
BubbleSort,179,84,0
BubbleSort,180,85,0
BubbleSort,181,88,0
BubbleSort,182,88,0
BubbleSort,183,86,0
BubbleSort,184,86,0
BubbleSort,185,85,0
BubbleSort,186,85,0
BubbleSort,187,86,0
BubbleSort,188,84,0
BubbleSort,189,85,0
BubbleSort,190,86,0
BubbleSort,191,85,0
BubbleSort,192,85,0
BubbleSort,193,83,0
BubbleSort,194,84,0
BubbleSort,195,84,0
BubbleSort,196,85,0
BubbleSort,197,85,0
BubbleSort,198,85,0
BubbleSort,199,85,0
BubbleSort,200,85,0
BubbleSort,201,92,0
BubbleSort,202,88,0
BubbleSort,203,85,0
BubbleSort,204,85,0
BubbleSort,205,87,0
BubbleSort,206,86,0
BubbleSort,207,85,0
BubbleSort,208,84,0
BubbleSort,209,85,0
BubbleSort,210,86,0
BubbleSort,211,85,0
BubbleSort,212,86,0
BubbleSort,213,85,0
BubbleSort,214,86,0
BubbleSort,215,88,0
BubbleSort,216,85,0
BubbleSort,217,86,0
BubbleSort,218,85,0
BubbleSort,219,86,0
BubbleSort,220,84,0
BubbleSort,221,93,0
BubbleSort,222,89,0
