Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
MergeSort,0,18,10144720
MergeSort,1,15,2125568
MergeSort,2,11,2301280
MergeSort,3,9,2134048
MergeSort,4,12,2301280
MergeSort,5,11,2126992
MergeSort,6,10,2299216
MergeSort,7,11,2129896
MergeSort,8,11,2299216
MergeSort,9,10,2129896
MergeSort,10,11,2299216
MergeSort,11,10,2151072
MergeSort,12,10,2301280
MergeSort,13,11,2150856
MergeSort,14,11,2299216
MergeSort,15,10,2150856
MergeSort,16,11,2299216
MergeSort,17,9,2150856
MergeSort,18,10,2299216
MergeSort,19,10,2150856
MergeSort,20,11,2299216
MergeSort,21,11,2150856
MergeSort,22,11,2299216
MergeSort,23,12,2150856
MergeSort,24,11,2299216
MergeSort,25,11,10470536
MergeSort,26,10,2139040
MergeSort,27,13,2299216
MergeSort,28,9,2127112
MergeSort,29,11,2301280
MergeSort,30,9,2136272
MergeSort,31,11,2301280
MergeSort,32,9,2127240
MergeSort,33,11,2299216
MergeSort,34,10,2129896
MergeSort,35,10,2299216
MergeSort,36,10,2129896
MergeSort,37,11,2299216
MergeSort,38,9,2151072
MergeSort,39,12,2301280
MergeSort,40,9,2150856
MergeSort,41,10,2299216
MergeSort,42,10,2150856
MergeSort,43,11,2299216
MergeSort,44,10,2150856
MergeSort,45,11,2299216
MergeSort,46,10,2150856
MergeSort,47,10,2299216
MergeSort,48,10,2150856
MergeSort,49,11,2299216
MergeSort,50,10,2150856
MergeSort,51,14,2299216
MergeSort,52,10,2150856
MergeSort,53,10,2299216
MergeSort,54,10,2150856
MergeSort,55,14,2299216
MergeSort,56,11,2150856
MergeSort,57,13,2299216
MergeSort,58,10,2150856
MergeSort,59,11,2299216
MergeSort,60,13,2150856
MergeSort,61,11,2299216
MergeSort,62,9,2150856
MergeSort,63,11,2299216
MergeSort,64,10,2150856
MergeSort,65,12,2299216
MergeSort,66,17,2150856
MergeSort,67,11,2299216
MergeSort,68,10,2150856
MergeSort,69,11,2299216
MergeSort,70,10,2150856
MergeSort,71,10,2299216
MergeSort,72,10,2150856
MergeSort,73,11,2299216
MergeSort,74,9,2150856
MergeSort,75,11,2299216
MergeSort,76,10,2150856
MergeSort,77,10,2299216
MergeSort,78,9,2150856
MergeSort,79,11,2299216
MergeSort,80,9,2150856
MergeSort,81,11,2299216
MergeSort,82,10,2150856
MergeSort,83,10,2299216
MergeSort,84,10,2150856
MergeSort,85,11,2299216
MergeSort,86,10,2150856
MergeSort,87,11,2299216
MergeSort,88,10,2150856
MergeSort,89,10,2299216
MergeSort,90,9,2150856
MergeSort,91,11,2299216
MergeSort,92,10,2150856
MergeSort,93,12,2299216
MergeSort,94,9,2150856
MergeSort,95,10,2299216
MergeSort,96,10,2150856
MergeSort,97,11,2299216
MergeSort,98,9,2150856
MergeSort,99,11,2299216
MergeSort,100,10,2150856
MergeSort,101,11,2299216
MergeSort,102,10,2150856
MergeSort,103,11,2299216
MergeSort,104,10,2150856
MergeSort,105,11,2299216
MergeSort,106,9,2150856
MergeSort,107,10,2299216
MergeSort,108,10,2150856
MergeSort,109,12,2299216
MergeSort,110,9,2150856
MergeSort,111,11,2299216
MergeSort,112,9,2150856
MergeSort,113,10,2299216
MergeSort,114,9,2150856
MergeSort,115,11,2299216
MergeSort,116,9,2150856
MergeSort,117,11,2299216
MergeSort,118,10,2150856
MergeSort,119,11,2299216
MergeSort,120,10,2150856
MergeSort,121,11,2299216
MergeSort,122,10,2150856
MergeSort,123,11,2299216
MergeSort,124,9,2150856
MergeSort,125,10,2299216
MergeSort,126,9,2150856
MergeSort,127,11,2299216
MergeSort,128,9,2150856
MergeSort,129,12,2299216
MergeSort,130,9,2150856
MergeSort,131,10,2299216
MergeSort,132,9,2150856
MergeSort,133,11,2299216
MergeSort,134,10,2150856
MergeSort,135,11,2299216
MergeSort,136,9,2150856
MergeSort,137,10,2299216
MergeSort,138,10,2150856
MergeSort,139,12,2299216
MergeSort,140,9,2150856
MergeSort,141,11,2299216
MergeSort,142,9,2150856
MergeSort,143,10,2299216
