Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
QuickSort,0,9,48248
QuickSort,1,1,0
QuickSort,2,2,0
QuickSort,3,1,0
QuickSort,4,1,0
QuickSort,5,1,0
QuickSort,6,2,0
QuickSort,7,1,0
QuickSort,8,1,0
QuickSort,9,1,0
QuickSort,10,2,0
QuickSort,11,1,0
QuickSort,12,1,0
QuickSort,13,1,0
QuickSort,14,1,0
QuickSort,15,1,0
QuickSort,16,1,0
QuickSort,17,1,0
QuickSort,18,1,0
QuickSort,19,1,0
QuickSort,20,2,0
QuickSort,21,1,0
QuickSort,22,1,0
QuickSort,23,1,0
QuickSort,24,1,0
QuickSort,25,2,0
QuickSort,26,1,0
QuickSort,27,1,0
QuickSort,28,1,0
QuickSort,29,1,0
QuickSort,30,1,0
QuickSort,31,1,0
QuickSort,32,1,0
QuickSort,33,1,0
QuickSort,34,1,0
QuickSort,35,1,0
QuickSort,36,2,0
QuickSort,37,1,0
QuickSort,38,1,0
QuickSort,39,1,0
QuickSort,40,1,0
QuickSort,41,2,0
QuickSort,42,1,0
QuickSort,43,1,0
QuickSort,44,1,0
QuickSort,45,1,0
QuickSort,46,1,0
QuickSort,47,1,0
QuickSort,48,1,0
QuickSort,49,1,0
QuickSort,50,1,0
QuickSort,51,1,0
QuickSort,52,1,0
QuickSort,53,1,0
QuickSort,54,1,0
QuickSort,55,1,0
QuickSort,56,1,0
QuickSort,57,1,0
QuickSort,58,1,0
QuickSort,59,1,0
QuickSort,60,1,0
QuickSort,61,1,0
QuickSort,62,1,0
QuickSort,63,1,0
QuickSort,64,2,0
QuickSort,65,1,0
QuickSort,66,1,0
QuickSort,67,1,0
QuickSort,68,1,0
QuickSort,69,1,0
QuickSort,70,1,0
QuickSort,71,1,0
QuickSort,72,1,0
QuickSort,73,1,0
QuickSort,74,1,0
QuickSort,75,1,0
QuickSort,76,1,0
QuickSort,77,1,0
QuickSort,78,2,0
QuickSort,79,1,0
QuickSort,80,1,0
QuickSort,81,1,0
QuickSort,82,1,0
QuickSort,83,1,0
QuickSort,84,2,0
QuickSort,85,1,0
QuickSort,86,1,0
QuickSort,87,1,0
QuickSort,88,1,0
QuickSort,89,1,0
QuickSort,90,1,0
QuickSort,91,1,0
QuickSort,92,1,0
QuickSort,93,1,0
QuickSort,94,1,0
QuickSort,95,1,0
QuickSort,96,1,0
QuickSort,97,2,0
QuickSort,98,1,0
QuickSort,99,1,0
QuickSort,100,1,0
QuickSort,101,1,0
QuickSort,102,1,0
QuickSort,103,1,0
QuickSort,104,1,0
QuickSort,105,2,0
QuickSort,106,1,0
QuickSort,107,1,0
QuickSort,108,1,0
QuickSort,109,2,0
QuickSort,110,1,0
QuickSort,111,1,0
QuickSort,112,1,0
QuickSort,113,1,0
QuickSort,114,2,0
QuickSort,115,1,0
QuickSort,116,1,0
QuickSort,117,2,0
QuickSort,118,1,0
QuickSort,119,1,0
QuickSort,120,1,0
QuickSort,121,1,0
QuickSort,122,1,0
QuickSort,123,1,0
QuickSort,124,1,0
QuickSort,125,1,0
QuickSort,126,1,0
QuickSort,127,1,0
QuickSort,128,2,0
QuickSort,129,1,0
QuickSort,130,1,0
QuickSort,131,1,0
QuickSort,132,1,0
QuickSort,133,1,0
QuickSort,134,1,0
QuickSort,135,1,0
QuickSort,136,1,0
QuickSort,137,1,0
QuickSort,138,1,0
QuickSort,139,1,0
QuickSort,140,2,0
QuickSort,141,1,0
QuickSort,142,1,0
QuickSort,143,1,0
QuickSort,144,1,0
QuickSort,145,1,0
QuickSort,146,1,0
QuickSort,147,1,0
QuickSort,148,1,0
QuickSort,149,2,0
QuickSort,150,1,0
QuickSort,151,1,0
QuickSort,152,1,0
QuickSort,153,1,0
QuickSort,154,1,0
QuickSort,155,1,0
QuickSort,156,1,0
QuickSort,157,1,0
QuickSort,158,1,0
QuickSort,159,1,0
QuickSort,160,2,0
QuickSort,161,1,0
QuickSort,162,1,0
QuickSort,163,1,0
QuickSort,164,1,0
QuickSort,165,1,0
QuickSort,166,1,0
QuickSort,167,2,0
QuickSort,168,1,0
QuickSort,169,1,0
QuickSort,170,1,0
QuickSort,171,1,0
QuickSort,172,1,0
QuickSort,173,1,0
QuickSort,174,1,0
QuickSort,175,1,0
QuickSort,176,1,0
QuickSort,177,1,0
QuickSort,178,1,0
QuickSort,179,2,0
QuickSort,180,1,0
QuickSort,181,1,0
QuickSort,182,1,0
QuickSort,183,1,0
QuickSort,184,1,0
QuickSort,185,2,0
QuickSort,186,1,0
QuickSort,187,1,0
QuickSort,188,1,0
QuickSort,189,1,0
QuickSort,190,1,0
QuickSort,191,1,0
QuickSort,192,1,0
QuickSort,193,1,0
QuickSort,194,1,0
QuickSort,195,1,0
QuickSort,196,1,0
QuickSort,197,1,0
QuickSort,198,1,0
QuickSort,199,1,0
QuickSort,200,1,0
QuickSort,201,3,0
QuickSort,202,1,0
QuickSort,203,1,0
QuickSort,204,1,0
QuickSort,205,1,0
QuickSort,206,1,0
QuickSort,207,1,0
QuickSort,208,1,0
QuickSort,209,1,0
QuickSort,210,1,0
QuickSort,211,1,0
QuickSort,212,1,0
QuickSort,213,1,0
QuickSort,214,1,0
QuickSort,215,1,0
QuickSort,216,1,0
QuickSort,217,1,0
QuickSort,218,1,0
QuickSort,219,1,0
QuickSort,220,2,0
QuickSort,221,1,0
QuickSort,222,1,0
QuickSort,223,1,0
QuickSort,224,1,0
QuickSort,225,1,0
QuickSort,226,1,0
QuickSort,227,1,0
QuickSort,228,1,0
QuickSort,229,1,0
QuickSort,230,1,0
QuickSort,231,1,0
QuickSort,232,1,0
QuickSort,233,1,0
QuickSort,234,2,0
QuickSort,235,1,0
QuickSort,236,1,0
QuickSort,237,1,0
QuickSort,238,1,0
QuickSort,239,1,0
QuickSort,240,1,0
QuickSort,241,1,0
QuickSort,242,1,0
QuickSort,243,1,0
QuickSort,244,1,0
QuickSort,245,1,0
QuickSort,246,1,0
QuickSort,247,1,0
QuickSort,248,1,0
QuickSort,249,2,0
QuickSort,250,1,0
QuickSort,251,1,0
QuickSort,252,1,0
QuickSort,253,1,0
QuickSort,254,1,0
QuickSort,255,1,0
QuickSort,256,1,0
QuickSort,257,1,0
QuickSort,258,1,0
QuickSort,259,1,0
QuickSort,260,2,0
QuickSort,261,1,0
QuickSort,262,2,0
QuickSort,263,1,0
QuickSort,264,1,0
QuickSort,265,2,0
QuickSort,266,1,0
QuickSort,267,1,0
