Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,7807380.836391449,800000.0
BubbleSort,1,7807380.836391449,800000.0
BubbleSort,2,7807380.836391449,800000.0
BubbleSort,3,7807380.836391449,800000.0
BubbleSort,4,7807380.836391449,800000.0
BubbleSort,5,7807380.836391449,800000.0
BubbleSort,6,7807380.836391449,800000.0
BubbleSort,7,7807380.836391449,800000.0
BubbleSort,8,7807380.836391449,800000.0
BubbleSort,9,7807380.836391449,800000.0
BubbleSort,10,7807380.836391449,800000.0
BubbleSort,11,7807380.836391449,800000.0
BubbleSort,12,7807380.836391449,800000.0
BubbleSort,13,7807380.836391449,800000.0
BubbleSort,14,7807380.836391449,800000.0
BubbleSort,15,7807380.836391449,800000.0
BubbleSort,16,7807380.836391449,800000.0
BubbleSort,17,7807380.836391449,800000.0
BubbleSort,18,7807380.836391449,800000.0
BubbleSort,19,7807380.836391449,800000.0
BubbleSort,20,7807380.836391449,800000.0
BubbleSort,21,7807380.836391449,800000.0
BubbleSort,22,7807380.836391449,800000.0
BubbleSort,23,7807380.836391449,800000.0
BubbleSort,24,7807380.836391449,800000.0
BubbleSort,25,7807380.836391449,800000.0
BubbleSort,26,7807380.836391449,800000.0
BubbleSort,27,7807380.836391449,800000.0
BubbleSort,28,7807380.836391449,800000.0
BubbleSort,29,7807380.836391449,800000.0
BubbleSort,30,7807380.836391449,800000.0
BubbleSort,31,7807380.836391449,800000.0
BubbleSort,32,7807380.836391449,800000.0
BubbleSort,33,7807380.836391449,800000.0
BubbleSort,34,7807380.836391449,800000.0
BubbleSort,35,7807380.836391449,800000.0
BubbleSort,36,7807380.836391449,800000.0
BubbleSort,37,7807380.836391449,800000.0
BubbleSort,38,7807380.836391449,800000.0
BubbleSort,39,7807380.836391449,800000.0
BubbleSort,40,7807380.836391449,800000.0
BubbleSort,41,7807380.836391449,800000.0
BubbleSort,42,7807380.836391449,800000.0
BubbleSort,43,7807380.836391449,800000.0
BubbleSort,44,7807380.836391449,800000.0
BubbleSort,45,7807380.836391449,800000.0
BubbleSort,46,7807380.836391449,800000.0
BubbleSort,47,7807380.836391449,800000.0
BubbleSort,48,7807380.836391449,800000.0
BubbleSort,49,7807380.836391449,800000.0
BubbleSort,50,7807380.836391449,800000.0
BubbleSort,51,7807380.836391449,800000.0
BubbleSort,52,7807380.836391449,800000.0
BubbleSort,53,7807380.836391449,800000.0
BubbleSort,54,7807380.836391449,800000.0
BubbleSort,55,7807380.836391449,800000.0
BubbleSort,56,7807380.836391449,800000.0
BubbleSort,57,7807380.836391449,800000.0
BubbleSort,58,7807380.836391449,800000.0
BubbleSort,59,7807380.836391449,800000.0
BubbleSort,60,7807380.836391449,800000.0
BubbleSort,61,7807380.836391449,800000.0
BubbleSort,62,7807380.836391449,800000.0
BubbleSort,63,7807380.836391449,800000.0
BubbleSort,64,7807380.836391449,800000.0
BubbleSort,65,7807380.836391449,800000.0
BubbleSort,66,7807380.836391449,800000.0
BubbleSort,67,7807380.836391449,800000.0
BubbleSort,68,7807380.836391449,800000.0
BubbleSort,69,7807380.836391449,800000.0
BubbleSort,70,7807380.836391449,800000.0
BubbleSort,71,7807380.836391449,800000.0
BubbleSort,72,7807380.836391449,800000.0
BubbleSort,73,7807380.836391449,800000.0
BubbleSort,74,7807380.836391449,800000.0
BubbleSort,75,7807380.836391449,800000.0
BubbleSort,76,7807380.836391449,800000.0
BubbleSort,77,7807380.836391449,800000.0
BubbleSort,78,7807380.836391449,800000.0
BubbleSort,79,7807380.836391449,800000.0
BubbleSort,80,7807380.836391449,800000.0
BubbleSort,81,7807380.836391449,800000.0
BubbleSort,82,7807380.836391449,800000.0
BubbleSort,83,7807380.836391449,800000.0
BubbleSort,84,7807380.836391449,800000.0
BubbleSort,85,7807380.836391449,800000.0
BubbleSort,86,7807380.836391449,800000.0
BubbleSort,87,7807380.836391449,800000.0
BubbleSort,88,7807380.836391449,800000.0
BubbleSort,89,7807380.836391449,800000.0
BubbleSort,90,7807380.836391449,800000.0
BubbleSort,91,7807380.836391449,800000.0
BubbleSort,92,7807380.836391449,800000.0
BubbleSort,93,7807380.836391449,800000.0
BubbleSort,94,7807380.836391449,800000.0
BubbleSort,95,7807380.836391449,800000.0
BubbleSort,96,7807380.836391449,800000.0
BubbleSort,97,7807380.836391449,800000.0
BubbleSort,98,7807380.836391449,800000.0
BubbleSort,99,7807380.836391449,800000.0
BubbleSort,100,7807380.836391449,800000.0
BubbleSort,101,7807380.836391449,800000.0
BubbleSort,102,7807380.836391449,800000.0
BubbleSort,103,7807380.836391449,800000.0
BubbleSort,104,7807380.836391449,800000.0
BubbleSort,105,7807380.836391449,800000.0
BubbleSort,106,7807380.836391449,800000.0
BubbleSort,107,7807380.836391449,800000.0
BubbleSort,108,7807380.836391449,800000.0
BubbleSort,109,7807380.836391449,800000.0
BubbleSort,110,7807380.836391449,800000.0
