Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
MergeSort,0,152.99081802368164,146607
MergeSort,1,133.06260108947754,80000
MergeSort,2,134.0186595916748,80000
MergeSort,3,138.5195255279541,80000
MergeSort,4,142.06385612487793,80000
MergeSort,5,138.06414604187012,80000
MergeSort,6,134.05346870422363,80000
MergeSort,7,140.00344276428223,80000
MergeSort,8,133.9895725250244,80000
MergeSort,9,132.01379776000977,80000
MergeSort,10,149.18756484985352,80000
MergeSort,11,147.0942497253418,80000
MergeSort,12,134.05299186706543,80000
MergeSort,13,134.05299186706543,80000
MergeSort,14,158.0657958984375,80000
MergeSort,15,161.94438934326172,80000
MergeSort,16,135.61034202575684,80000
MergeSort,17,142.68231391906738,80000
MergeSort,18,135.99872589111328,80000
MergeSort,19,143.9979076385498,80000
MergeSort,20,134.0632438659668,80000
MergeSort,21,141.9658660888672,80000
MergeSort,22,138.98587226867676,80000
MergeSort,23,144.00696754455566,80000
MergeSort,24,137.50576972961426,80000
MergeSort,25,146.79741859436035,80000
MergeSort,26,153.66077423095703,80000
MergeSort,27,146.00396156311035,80000
MergeSort,28,145.00069618225098,80000
MergeSort,29,135.96844673156738,80000
MergeSort,30,140.99955558776855,80000
MergeSort,31,136.04450225830078,80000
MergeSort,32,141.46757125854492,80000
MergeSort,33,134.99855995178223,80000
MergeSort,34,134.99760627746582,80000
MergeSort,35,139.00017738342285,80000
MergeSort,36,174.99971389770508,80000
MergeSort,37,134.99903678894043,80000
MergeSort,38,143.00990104675293,80000
MergeSort,39,137.99452781677246,80000
MergeSort,40,152.0378589630127,80000
MergeSort,41,153.84387969970703,80000
MergeSort,42,143.0032253265381,80000
MergeSort,43,157.9592227935791,80000
MergeSort,44,147.04561233520508,80000
MergeSort,45,149.46818351745605,80000
MergeSort,46,150.9993076324463,80000
MergeSort,47,145.00784873962402,80000
MergeSort,48,144.0439224243164,80000
MergeSort,49,146.96526527404785,80000
MergeSort,50,148.98991584777832,80000
MergeSort,51,176.99956893920898,80000
MergeSort,52,140.0132179260254,80000
MergeSort,53,141.01839065551758,80000
MergeSort,54,146.06380462646484,80000
MergeSort,55,148.34213256835938,80000
MergeSort,56,166.76831245422363,80000
MergeSort,57,149.67608451843262,80000
MergeSort,58,147.0050811767578,80000
MergeSort,59,135.27846336364746,80000
MergeSort,60,152.01783180236816,80000
MergeSort,61,139.998197555542,80000
MergeSort,62,133.01753997802734,80000
MergeSort,63,134.00721549987793,80000
MergeSort,64,132.00831413269043,80000
MergeSort,65,135.0550651550293,80000
MergeSort,66,137.96615600585938,80000
MergeSort,67,140.00701904296875,80000
MergeSort,68,142.01879501342773,80000
MergeSort,69,136.0175609588623,80000
MergeSort,70,141.1612033843994,80000
MergeSort,71,152.04405784606934,80000
MergeSort,72,144.04821395874023,80000
MergeSort,73,138.51332664489746,80000
MergeSort,74,132.95459747314453,80000
MergeSort,75,139.007568359375,80000
MergeSort,76,134.0630054473877,80000
MergeSort,77,132.9951286315918,80000
MergeSort,78,133.06951522827148,80000
MergeSort,79,133.9547634124756,80000
MergeSort,80,133.0561637878418,80000
MergeSort,81,135.9550952911377,80000
MergeSort,82,132.55715370178223,80000
MergeSort,83,139.06288146972656,80000
MergeSort,84,142.96698570251465,80000
MergeSort,85,133.01920890808105,80000
MergeSort,86,148.31137657165527,80000
MergeSort,87,142.0888900756836,80000
MergeSort,88,135.94388961791992,80000
MergeSort,89,154.65784072875977,80000
MergeSort,90,149.94359016418457,80000
MergeSort,91,148.0121612548828,80000
MergeSort,92,141.03126525878906,80000
MergeSort,93,149.5838165283203,80000
MergeSort,94,144.00744438171387,80000
MergeSort,95,147.0627784729004,80000
MergeSort,96,161.98468208312988,80000
MergeSort,97,136.96694374084473,80000
MergeSort,98,140.51318168640137,80000
MergeSort,99,136.05022430419922,80000
MergeSort,100,135.01763343811035,80000
MergeSort,101,139.92929458618164,80000
MergeSort,102,162.14489936828613,80000
MergeSort,103,149.05190467834473,80000
MergeSort,104,143.96047592163086,80000
MergeSort,105,145.033597946167,80000
MergeSort,106,144.96636390686035,80000
MergeSort,107,138.0002498626709,80000
MergeSort,108,154.9978256225586,80000
MergeSort,109,137.07900047302246,80000
MergeSort,110,171.99420928955078,80000
MergeSort,111,146.05259895324707,80000
MergeSort,112,155.0309658050537,80000
MergeSort,113,206.93254470825195,80000
MergeSort,114,170.501708984375,80000
MergeSort,115,194.1964626312256,80000
MergeSort,116,157.1037769317627,80000
MergeSort,117,140.01083374023438,80000
MergeSort,118,152.02879905700684,80000
MergeSort,119,151.0636806488037,80000
MergeSort,120,156.01706504821777,80000
MergeSort,121,141.0050392150879,80000
MergeSort,122,166.0628318786621,80000
MergeSort,123,142.99893379211426,80000
MergeSort,124,148.9877700805664,80000
MergeSort,125,138.0000114440918,80000
MergeSort,126,142.5471305847168,80000
MergeSort,127,169.52109336853027,80000
MergeSort,128,164.9951934814453,80000
MergeSort,129,277.38046646118164,80000
MergeSort,130,372.94507026672363,80000
MergeSort,131,187.00122833251953,80000
MergeSort,132,198.99725914001465,80000
MergeSort,133,207.99636840820312,80000
MergeSort,134,182.00135231018066,80000
MergeSort,135,148.00786972045898,80000
MergeSort,136,158.99085998535156,80000
MergeSort,137,151.52549743652344,80000
MergeSort,138,152.99630165100098,80000
MergeSort,139,149.9958038330078,80000
MergeSort,140,166.0022735595703,80000
MergeSort,141,156.9967269897461,80000
MergeSort,142,191.55240058898926,80000
MergeSort,143,187.00170516967773,80000
MergeSort,144,200.98471641540527,80000
MergeSort,145,221.998929977417,80000
MergeSort,146,246.002197265625,80000
MergeSort,147,198.99940490722656,80000
MergeSort,148,172.5156307220459,80000
MergeSort,149,168.00165176391602,80000
MergeSort,150,144.99759674072266,80000
MergeSort,151,152.04596519470215,80000
MergeSort,152,185.62912940979004,80000
MergeSort,153,189.2073154449463,80000
MergeSort,154,170.0749397277832,80000
MergeSort,155,153.00917625427246,80000
MergeSort,156,141.03126525878906,80000
MergeSort,157,152.96554565429688,80000
MergeSort,158,154.99281883239746,80000
MergeSort,159,148.00000190734863,80000
MergeSort,160,157.5167179107666,80000
MergeSort,161,147.0050811767578,80000
MergeSort,162,174.03125762939453,80000
MergeSort,163,189.9583339691162,80000
MergeSort,164,236.00172996520996,80000
MergeSort,165,193.99333000183105,80000
MergeSort,166,198.6980438232422,80000
MergeSort,167,176.22613906860352,80000
MergeSort,168,139.00113105773926,80000
MergeSort,169,146.04473114013672,80000
MergeSort,170,140.98882675170898,80000
MergeSort,171,149.05524253845215,80000
MergeSort,172,148.51808547973633,80000
MergeSort,173,140.96570014953613,80000
MergeSort,174,145.0176239013672,80000
MergeSort,175,137.98761367797852,80000
MergeSort,176,161.01694107055664,80000
MergeSort,177,137.01844215393066,80000
MergeSort,178,148.00333976745605,80000
MergeSort,179,167.9985523223877,80000
MergeSort,180,156.00252151489258,80000
MergeSort,181,173.85315895080566,80000
MergeSort,182,161.9100570678711,80000
MergeSort,183,143.58925819396973,80000
MergeSort,184,154.0083885192871,80000
MergeSort,185,141.5703296661377,80000
MergeSort,186,147.56107330322266,80000
MergeSort,187,143.9988613128662,80000
MergeSort,188,140.01107215881348,80000
MergeSort,189,168.01834106445312,80000
MergeSort,190,139.04738426208496,80000
MergeSort,191,145.95556259155273,80000
MergeSort,192,148.04506301879883,80000
MergeSort,193,139.052152633667,80000
MergeSort,194,155.95674514770508,80000
MergeSort,195,168.2415008544922,80000
MergeSort,196,175.0938892364502,80000
MergeSort,197,157.99999237060547,80000
MergeSort,198,148.56338500976562,80000
MergeSort,199,137.98809051513672,80000
MergeSort,200,164.00861740112305,80000
MergeSort,201,151.0312557220459,80000
MergeSort,202,147.9644775390625,80000
MergeSort,203,148.00238609313965,80000
MergeSort,204,188.98963928222656,80000
MergeSort,205,218.01209449768066,80000
