Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
QuickSort,0,219.01226043701172,40000
QuickSort,1,243.99137496948242,40000
QuickSort,2,217.0102596282959,40000
QuickSort,3,203.033447265625,40000
QuickSort,4,245.955228805542,40000
QuickSort,5,193.5122013092041,40000
QuickSort,6,205.04093170166016,40000
QuickSort,7,218.01066398620605,40000
QuickSort,8,193.99785995483398,40000
QuickSort,9,186.04540824890137,40000
QuickSort,10,188.04073333740234,40000
QuickSort,11,188.9660358428955,40000
QuickSort,12,191.01881980895996,40000
QuickSort,13,180.06610870361328,40000
QuickSort,14,194.0634250640869,40000
QuickSort,15,184.9658489227295,40000
QuickSort,16,188.6589527130127,40000
QuickSort,17,196.41566276550293,40000
QuickSort,18,186.08617782592773,40000
QuickSort,19,182.62004852294922,40000
QuickSort,20,188.01116943359375,40000
QuickSort,21,182.9977035522461,40000
QuickSort,22,178.99203300476074,40000
QuickSort,23,178.93457412719727,40000
QuickSort,24,212.00799942016602,40000
QuickSort,25,195.61195373535156,40000
QuickSort,26,183.63213539123535,40000
QuickSort,27,192.0175552368164,40000
QuickSort,28,193.05419921875,40000
QuickSort,29,203.84764671325684,40000
QuickSort,30,181.99825286865234,40000
QuickSort,31,189.06450271606445,40000
QuickSort,32,195.0550079345703,40000
QuickSort,33,186.00749969482422,40000
QuickSort,34,178.05123329162598,40000
QuickSort,35,183.95447731018066,40000
QuickSort,36,190.0653839111328,40000
QuickSort,37,184.68165397644043,40000
QuickSort,38,186.00034713745117,40000
QuickSort,39,200.96802711486816,40000
QuickSort,40,207.00478553771973,40000
QuickSort,41,194.65231895446777,40000
QuickSort,42,183.99786949157715,40000
QuickSort,43,181.99849128723145,40000
QuickSort,44,180.61113357543945,40000
QuickSort,45,180.01103401184082,40000
QuickSort,46,186.5246295928955,40000
QuickSort,47,187.51287460327148,40000
QuickSort,48,189.06354904174805,40000
QuickSort,49,186.00916862487793,40000
QuickSort,50,181.60581588745117,40000
QuickSort,51,193.01700592041016,40000
QuickSort,52,208.33373069763184,40000
QuickSort,53,182.04593658447266,40000
QuickSort,54,179.95500564575195,40000
QuickSort,55,196.0000991821289,40000
QuickSort,56,186.0518455505371,40000
QuickSort,57,198.0133056640625,40000
QuickSort,58,196.5477466583252,40000
QuickSort,59,181.00929260253906,40000
QuickSort,60,187.0098114013672,40000
QuickSort,61,184.0536594390869,40000
QuickSort,62,192.01397895812988,40000
QuickSort,63,190.76204299926758,40000
QuickSort,64,202.87466049194336,40000
QuickSort,65,205.05428314208984,40000
QuickSort,66,190.05179405212402,40000
QuickSort,67,206.9559097290039,40000
QuickSort,68,194.6573257446289,40000
QuickSort,69,186.0513687133789,40000
QuickSort,70,222.01037406921387,40000
QuickSort,71,185.00208854675293,40000
QuickSort,72,189.51797485351562,40000
QuickSort,73,196.01154327392578,40000
QuickSort,74,193.79258155822754,40000
QuickSort,75,215.70825576782227,40000
QuickSort,76,190.00768661499023,40000
QuickSort,77,180.0520420074463,40000
QuickSort,78,193.01199913024902,40000
QuickSort,79,183.5043430328369,40000
QuickSort,80,190.0186538696289,40000
QuickSort,81,182.5122833251953,40000
QuickSort,82,191.06459617614746,40000
QuickSort,83,184.01098251342773,40000
QuickSort,84,185.00947952270508,40000
QuickSort,85,184.00955200195312,40000
QuickSort,86,202.28266716003418,40000
QuickSort,87,192.02566146850586,40000
QuickSort,88,181.00738525390625,40000
QuickSort,89,187.61563301086426,40000
QuickSort,90,182.06381797790527,40000
QuickSort,91,197.05486297607422,40000
QuickSort,92,185.04762649536133,40000
QuickSort,93,183.9432716369629,40000
QuickSort,94,183.00914764404297,40000
QuickSort,95,180.03511428833008,40000
QuickSort,96,181.96558952331543,40000
QuickSort,97,182.99055099487305,40000
QuickSort,98,204.7715187072754,40000
QuickSort,99,187.00718879699707,40000
QuickSort,100,189.66054916381836,40000
QuickSort,101,182.98888206481934,40000
QuickSort,102,191.0088062286377,40000
QuickSort,103,182.06262588500977,40000
QuickSort,104,183.01153182983398,40000
QuickSort,105,183.99381637573242,40000
QuickSort,106,180.61470985412598,40000
QuickSort,107,187.95466423034668,40000
QuickSort,108,185.06312370300293,40000
QuickSort,109,201.64799690246582,40000
QuickSort,110,206.16674423217773,40000
QuickSort,111,181.4582347869873,40000
QuickSort,112,183.00914764404297,40000
QuickSort,113,185.02044677734375,40000
QuickSort,114,186.05327606201172,40000
QuickSort,115,187.96515464782715,40000
QuickSort,116,181.06317520141602,40000
QuickSort,117,178.94721031188965,40000
QuickSort,118,180.0069808959961,40000
QuickSort,119,181.00714683532715,40000
QuickSort,120,179.00729179382324,40000
QuickSort,121,205.25503158569336,40000
QuickSort,122,188.0781650543213,40000
QuickSort,123,189.99981880187988,40000
QuickSort,124,182.99031257629395,40000
QuickSort,125,180.05895614624023,40000
QuickSort,126,195.01781463623047,40000
QuickSort,127,180.0065040588379,40000
QuickSort,128,181.06508255004883,40000
QuickSort,129,184.04126167297363,40000
QuickSort,130,194.95582580566406,40000
QuickSort,131,182.01756477355957,40000
QuickSort,132,192.5044059753418,40000
QuickSort,133,241.7914867401123,40000
QuickSort,134,182.9676628112793,40000
QuickSort,135,180.0069808959961,40000
QuickSort,136,188.0512237548828,40000
QuickSort,137,185.95576286315918,40000
QuickSort,138,192.0168399810791,40000
QuickSort,139,185.00113487243652,40000
QuickSort,140,181.00714683532715,40000
QuickSort,141,180.06300926208496,40000
QuickSort,142,181.03551864624023,40000
QuickSort,143,184.5095157623291,40000
QuickSort,144,193.93658638000488,40000
QuickSort,145,205.7349681854248,40000
QuickSort,146,180.0086498260498,40000
QuickSort,147,190.05751609802246,40000
QuickSort,148,188.00020217895508,40000
QuickSort,149,192.96026229858398,40000
QuickSort,150,188.0180835723877,40000
QuickSort,151,194.54073905944824,40000
QuickSort,152,189.05091285705566,40000
QuickSort,153,194.60248947143555,40000
QuickSort,154,182.01088905334473,40000
QuickSort,155,200.9735107421875,40000
QuickSort,156,197.9696750640869,40000
QuickSort,157,199.57208633422852,40000
QuickSort,158,195.00041007995605,40000
QuickSort,159,189.99934196472168,40000
QuickSort,160,178.9546012878418,40000
QuickSort,161,180.04631996154785,40000
QuickSort,162,181.00929260253906,40000
QuickSort,163,183.01105499267578,40000
QuickSort,164,183.46428871154785,40000
QuickSort,165,188.05599212646484,40000
QuickSort,166,184.0522289276123,40000
QuickSort,167,181.95509910583496,40000
QuickSort,168,205.39259910583496,40000
QuickSort,169,185.00018119812012,40000
QuickSort,170,188.0195140838623,40000
QuickSort,171,185.0450038909912,40000
QuickSort,172,198.51207733154297,40000
QuickSort,173,191.06316566467285,40000
QuickSort,174,186.62571907043457,40000
QuickSort,175,187.96586990356445,40000
QuickSort,176,197.04484939575195,40000
QuickSort,177,181.67495727539062,40000
QuickSort,178,182.97386169433594,40000
QuickSort,179,203.49359512329102,40000
QuickSort,180,197.9086399078369,40000
QuickSort,181,181.99825286865234,40000
QuickSort,182,182.06524848937988,40000
QuickSort,183,181.98561668395996,40000
QuickSort,184,193.04513931274414,40000
QuickSort,185,190.49549102783203,40000
QuickSort,186,184.01813507080078,40000
QuickSort,187,193.01795959472656,40000
QuickSort,188,183.9888095855713,40000
QuickSort,189,186.00988388061523,40000
QuickSort,190,185.06312370300293,40000
QuickSort,191,208.99605751037598,40000
